"","Branches","Junctions","End_points_Voxels","Junction_Voxels","Slab_Voxels","Average_Branch_Length","Triple_Points","Quadruple_Points","Maximum_Branch_Length","replicate","Group","Batch","sample"
"32671",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32672",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32673",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32674",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32675",1,0,2,0,1,1.93,0,0,1.93,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32676",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32677",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32678",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32679",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32680",9,3,7,9,26,5.717,1,2,11.033,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32681",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32682",1,0,2,0,1,1.93,0,0,1.93,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32683",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32684",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32685",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32686",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32687",1,0,2,0,0,1.192,0,0,1.192,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32688",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32689",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32690",1,0,2,0,0,0.7,0,0,0.7,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32691",1,0,2,0,1,1.929,0,0,1.929,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32692",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32693",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32694",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32695",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32696",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32697",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32698",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32699",1,0,2,0,22,18.067,0,0,18.067,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32700",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32701",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32702",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32703",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32704",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32705",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32706",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32707",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32708",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32709",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32710",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32711",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32712",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32713",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32714",5,2,4,4,35,9.133,2,0,26.094,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32715",21,8,12,24,86,6.617,5,1,21.532,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32716",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32717",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32718",1,0,2,0,8,10.218,0,0,10.218,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32719",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32720",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32721",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32722",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32723",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32724",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32725",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32726",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32727",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32728",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32729",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32730",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32731",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32732",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32733",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32734",1,0,2,0,9,11.277,0,0,11.277,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32735",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32736",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32737",34,15,20,25,156,6.513,12,3,24.469,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32738",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32739",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32740",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32741",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32742",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32743",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32744",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32745",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32746",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32747",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32748",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32749",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32750",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32751",1,0,2,0,1,1.892,0,0,1.892,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32752",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32753",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32754",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32755",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32756",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32757",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32758",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32759",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32760",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32761",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32762",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32763",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32764",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32765",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32766",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32767",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32768",16,6,8,11,77,6.709,4,1,55.31,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32769",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32770",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32771",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32772",8,3,5,5,21,4.054,1,2,10.142,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32773",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32774",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32775",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32776",1,0,2,0,3,5.281,0,0,5.281,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32777",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32778",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32779",3,1,3,1,12,5.047,1,0,8.459,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32780",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32781",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32782",1,0,2,0,1,1.929,0,0,1.929,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32783",1,0,2,0,0,1.192,0,0,1.192,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32784",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32785",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32786",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32787",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32788",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32789",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32790",8,3,4,6,17,5.346,1,1,7.687,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32791",3,1,3,1,4,3.728,1,0,6.188,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32792",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32793",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32794",1,0,2,0,1,1.929,0,0,1.929,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32795",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32796",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32797",1,0,2,0,2,4.032,0,0,4.032,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32798",1,0,2,0,1,2.384,0,0,2.384,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32799",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32800",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32801",1,0,2,0,4,4.484,0,0,4.484,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32802",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32803",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32804",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32805",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32806",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32807",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32808",3,1,3,1,6,3.677,1,0,4.617,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32809",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32810",6,2,5,5,9,3.666,1,1,5.923,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32811",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32812",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
